Date	Time	Open	High	Low	Close	Volume
15/03/2024	00:00:00	603.2	612.0	601.1	605.9	65511.217
15/03/2024	01:00:00	605.9	606.3	600.1	601.7	37085.665
15/03/2024	02:00:00	601.8	604.4	571.6	583.9	138017.932
15/03/2024	03:00:00	583.9	587.3	565.0	582.9	147764.584
15/03/2024	04:00:00	583.0	585.4	574.0	575.8	97770.159
15/03/2024	05:00:00	575.9	583.5	564.9	571.1	94905.416
15/03/2024	06:00:00	571.0	585.6	570.4	585.3	81319.592
15/03/2024	07:00:00	585.2	586.2	579.5	582.6	62044.894
15/03/2024	08:00:00	582.6	583.0	560.9	561.3	103204.493
15/03/2024	09:00:00	561.4	572.0	540.9	571.0	227214.36
15/03/2024	10:00:00	571.0	580.8	567.7	577.5	153840.758
15/03/2024	11:00:00	577.5	585.0	567.3	583.2	151534.71
15/03/2024	12:00:00	583.2	586.0	575.9	580.4	121678.597
15/03/2024	13:00:00	580.5	587.5	569.3	587.4	166283.011
15/03/2024	14:00:00	587.4	589.8	580.9	587.7	156347.428
15/03/2024	15:00:00	587.7	606.6	581.5	596.3	177470.884
15/03/2024	16:00:00	596.4	601.9	589.1	593.9	168356.707
15/03/2024	17:00:00	593.7	599.7	588.8	599.5	119239.304
15/03/2024	18:00:00	599.5	613.8	598.8	612.6	163635.566
15/03/2024	19:00:00	612.6	613.8	592.6	597.2	153073.523
15/03/2024	20:00:00	597.1	597.2	581.8	583.4	130189.466
15/03/2024	21:00:00	583.5	592.2	582.7	592.2	52757.514
15/03/2024	22:00:00	592.2	611.0	590.8	610.5	54807.72
15/03/2024	23:00:00	610.5	635.2	603.5	632.7	242259.288
16/03/2024	00:00:00	632.7	645.2	616.8	620.7	171718.885
